machine,app,"args",ranks,duration,BR_INS,LD_INS,SR_INS,TOT_INS,L1_LDM,L1_STM,L2_LDM,L2_STM,FP_SINGLE,FP_DOUBLE,ARITH,IO Bytes Read,IO Bytes Written,MEM_WCY,REALTIME (sec),PM_MATH_FLOP_CMPL,L1-DCACHE-LOAD-MISSES,L1-ICACHE-LOAD-MISSES,Overhead
corona,cosmoflow,"",1,0.0333,90000000.0,622051113.0,185033944.0,1534000000.0,59361006.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,293744.0,206264.0,250497271.0,0.360797,,,,1.6372030000000002
corona,cosmoflow,"",1,0.05,128000000.0,902122957.0,267941848.0,2190000000.0,70688423.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,293744.0,206264.0,366507257.0,0.50581,,,,2.49419
corona,cosmoflow,"",1,0.05,294000000.0,2143222012.0,636855043.0,5128000000.0,191994253.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,293744.0,206264.0,901190710.0,1.1863620000000001,,,,1.8136379999999999
corona,deepcam,"",1,0.2833,3192000000.0,24815098355.0,7236505734.0,58066000000.0,2372997120.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,293744.0,206264.0,10145602270.0,13.757675,,,,3.2403250000000003
corona,deepcam,"",1,0.55,6480000000.0,51102421587.0,14907627127.0,119426000000.0,3760865311.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,293744.0,206264.0,22904753921.0,29.455886,,,,3.5441140000000004
corona,deepcam,"",1,0.5,6126000000.0,48227774948.0,14066121224.0,112682000000.0,4230960205.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,293744.0,206264.0,21474519120.0,27.31921,,,,2.6807899999999982
corona,deepcam,"",1,0.5666,6834000000.0,54045044569.0,15766992811.0,126268000000.0,5129841311.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,293744.0,206264.0,24585241397.0,31.130978000000002,,,,2.8650219999999997
corona,deepcam,"",1,0.6166,7236000000.0,57244152378.0,16698716230.0,133712000000.0,4165194903.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,293744.0,206264.0,26225717936.0,33.375176,,,,3.620823999999999
corona,deepcam,"",1,0.65,7626000000.0,60500757151.0,17651074963.0,141272000000.0,5301752032.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,293744.0,206264.0,27985241276.0,35.057181,,,,3.942819
corona,deepcam,"",1,0.6833,8038000000.0,63830093331.0,18625717377.0,149046000000.0,4635271110.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,293744.0,206264.0,29760595873.0,37.485786,,,,3.5122140000000073
corona,deepcam,"",1,0.7166,8440000000.0,67243796268.0,19630762856.0,156946000000.0,6310819760.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,293744.0,206264.0,31572081814.0,39.649967,,,,3.3460330000000056
corona,deepcam,"",1,0.7833,8918000000.0,70970455808.0,20710623953.0,165678000000.0,5093219738.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,293744.0,206264.0,33425635965.0,42.158705,,,,4.839295
corona,deepcam,"",1,0.85,9856000000.0,78618504216.0,22941238544.0,183500000000.0,5853281423.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,293746.0,206264.0,37548483654.0,47.187867,,,,3.812133000000003
corona,deepcam,"",1,0.8833,10358000000.0,82673541234.0,24124497193.0,192962000000.0,7549205551.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,293744.0,206264.0,39999891672.0,49.28173099999999,,,,3.716269000000004
corona,deepcam,"",1,0.8,9396000000.0,74768498107.0,21817901080.0,174576000000.0,6539420145.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,293744.0,206264.0,35551365538.0,43.976849,,,,4.023150999999999
corona,minigan,"",1,0.0333,132000000.0,940088234.0,278372011.0,2280000000.0,88257529.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,293744.0,206264.0,378132220.0,0.526417,,,,1.4715830000000003
