"machine","app","exec","args","ranks","spack_env","exec_path","events","path","duration","PAPI_VEC_DP (proxy)","PAPI_REF_CYC","PAPI_DP_OPS (proxy)","PAPI_BR_INS","perf::L1-DCACHE-STORES","IO Bytes Written","IO Bytes Read","perf::DTLB-LOAD-MISSES","perf::DTLB-LOADS","perf::DTLB-STORE-MISSES","perf::DTLB-STORES","PAPI_BR_CN","PAPI_BR_UCN (proxy)","PAPI_BR_TKN","REALTIME (sec)","perf::L1-DCACHE-LOADS","perf::LLC-STORES","PAPI_TOT_INS","PAPI_BR_PRC (proxy)","PAPI_L2_TCM","perf::LLC-STORE-MISSES","perf::L1-DCACHE-LOAD-MISSES"
"ec2-c6i.metal","amg","amg","-problem 1 -P 2 2 1 -n 16 16 8","32","ice4hpc","/home/ec2-user/spack/var/spack/environments/ice4hpc/.spack-env/view/bin/amg","-e REALTIME -e IO -e perf::ITLB-LOADS -e perf::ITLB-LOAD-MISSES -e perf::LLC-LOADS -e perf::LLC-LOAD-MISSES -e PAPI_BR_TKN -e PAPI_BR_CN -e PAPI_BR_UCN -e perf::LLC-STORES -e perf::LLC-STORE-MISSES -e perf::L1-DCACHE-LOADS -e perf::L1-DCACHE-LOAD-MISSES -e clx::HW_INTERRUPTS -e PAPI_BR_TKN -e PAPI_BR_CN -e PAPI_BR_UCN -e PAPI_SP_OPS -e PAPI_VEC_SP -e PAPI_TOT_INS -e PAPI_DP_OPS -e PAPI_VEC_DP -e PAPI_REF_CYC -e PAPI_BR_PRC -e PAPI_L2_TCM -e clx::RESOURCE_STALLS -e perf::L1-DCACHE-STORES -e perf::PERF_COUNT_SW_CONTEXT_SWITCHES -e perf::CONTEXT-SWITCHES -e PAPI_BR_INS -e PAPI_BR_PRC -e PAPI_L2_TCM -e perf::DTLB-LOADS -e perf::DTLB-LOAD-MISSES -e perf::DTLB-STORES -e perf::DTLB-STORE-MISSES","['/home/ec2-user/aws_data_collection/data/ec2-c6i.metal/amg/370b9065c05c1942e895c8b94b0a7a91', '/home/ec2-user/aws_data_collection/data/ec2-c6i.metal/amg/89df3ce3e44a455ca0199fff2d1bbdc2', '/home/ec2-user/aws_data_collection/data/ec2-c6i.metal/amg/a7345de5686341bac3bee3f6d868c359', '/home/ec2-user/aws_data_collection/data/ec2-c6i.metal/amg/d3806597dc6f3f432c5d63206f13a8b0', '/home/ec2-user/aws_data_collection/data/ec2-c6i.metal/amg/05849ebf5182d4324138518ff5bf0dfd', '/home/ec2-user/aws_data_collection/data/ec2-c6i.metal/amg/6e2619eab085d7cdcc5a6cfc8589dd7b', '/home/ec2-user/aws_data_collection/data/ec2-c6i.metal/amg/52d7f895001cdeb5d2526440c17a083b', '/home/ec2-user/aws_data_collection/data/ec2-c6i.metal/amg/50f191bc77a4c78eb459a57709d5b77b', '/home/ec2-user/aws_data_collection/data/ec2-c6i.metal/amg/e5a96cd88953c0442d70fb0eefe0e944', '/home/ec2-user/aws_data_collection/data/ec2-c6i.metal/amg/a3f943cca19c991180e66c63daa2ee1f', '/home/ec2-user/aws_data_collection/data/ec2-c6i.metal/amg/32769f6e07afa3f011292d5e767675b2']",0.0333,"","","","","",1472.0,11576.0,69.0,1.0,1.0,"","","","","",1.0,1.0,"","","","",""
"ec2-c6i.metal","amg","amg","-problem 1 -P 2 2 1 -n 32 32 16","32","ice4hpc","/home/ec2-user/spack/var/spack/environments/ice4hpc/.spack-env/view/bin/amg","-e REALTIME -e IO -e perf::ITLB-LOADS -e perf::ITLB-LOAD-MISSES -e perf::LLC-LOADS -e perf::LLC-LOAD-MISSES -e PAPI_BR_TKN -e PAPI_BR_CN -e PAPI_BR_UCN -e perf::L1-DCACHE-STORES -e perf::PERF_COUNT_SW_CONTEXT_SWITCHES -e perf::CONTEXT-SWITCHES -e PAPI_BR_INS -e clx::HW_INTERRUPTS -e PAPI_BR_TKN -e PAPI_BR_CN -e PAPI_BR_UCN -e perf::DTLB-LOADS -e perf::DTLB-LOAD-MISSES -e perf::DTLB-STORES -e perf::DTLB-STORE-MISSES -e PAPI_SP_OPS -e PAPI_VEC_SP -e PAPI_TOT_INS -e perf::LLC-STORES -e perf::LLC-STORE-MISSES -e perf::L1-DCACHE-LOADS -e perf::L1-DCACHE-LOAD-MISSES -e PAPI_DP_OPS -e PAPI_VEC_DP -e PAPI_REF_CYC -e PAPI_BR_PRC -e PAPI_L2_TCM -e PAPI_BR_PRC -e PAPI_L2_TCM -e clx::RESOURCE_STALLS","['/home/ec2-user/aws_data_collection/data/ec2-c6i.metal/amg/2987e7cf823b93e32eff35671eba85dc', '/home/ec2-user/aws_data_collection/data/ec2-c6i.metal/amg/80b9cea8cbf974f4d381ad4afb259d65', '/home/ec2-user/aws_data_collection/data/ec2-c6i.metal/amg/eeaa33f95d93879eacfb679b78bb4d96', '/home/ec2-user/aws_data_collection/data/ec2-c6i.metal/amg/ca185285a65786fb3fdd83dcbfb89ff5', '/home/ec2-user/aws_data_collection/data/ec2-c6i.metal/amg/ab469bb5e3b0dda3c5cf8d762b32d6e7', '/home/ec2-user/aws_data_collection/data/ec2-c6i.metal/amg/ff386002823adfff9a1b98db3912300e', '/home/ec2-user/aws_data_collection/data/ec2-c6i.metal/amg/86a37eba6d083b63f966b9898b82ad6d', '/home/ec2-user/aws_data_collection/data/ec2-c6i.metal/amg/69f8b39d9c66a26962e9f1e0b46b8e2a', '/home/ec2-user/aws_data_collection/data/ec2-c6i.metal/amg/6746487c7245dc4af48c5e155e82b4e7', '/home/ec2-user/aws_data_collection/data/ec2-c6i.metal/amg/1258fee0d729760343a527fecaae6b8a', '/home/ec2-user/aws_data_collection/data/ec2-c6i.metal/amg/179cf3433d332c9daf25f2469115957f']",0.05,"","","","","",1752.0,11576.0,53.0,1.0,1.0,"","","","","",1.0,1.0,"","","",1.0,""
"ec2-c6i.metal","amg","amg","-problem 1 -P 2 2 1 -n 8 8 4","32","ice4hpc","/home/ec2-user/spack/var/spack/environments/ice4hpc/.spack-env/view/bin/amg","-e PAPI_BR_PRC -e PAPI_L2_TCM -e clx::RESOURCE_STALLS -e PAPI_DP_OPS -e PAPI_VEC_DP -e PAPI_REF_CYC -e clx::HW_INTERRUPTS -e PAPI_BR_TKN -e PAPI_BR_CN -e PAPI_BR_UCN -e perf::LLC-STORES -e perf::LLC-STORE-MISSES -e perf::L1-DCACHE-LOADS -e perf::L1-DCACHE-LOAD-MISSES -e PAPI_SP_OPS -e PAPI_VEC_SP -e PAPI_TOT_INS -e perf::DTLB-LOADS -e perf::DTLB-LOAD-MISSES -e perf::DTLB-STORES -e perf::DTLB-STORE-MISSES -e perf::L1-DCACHE-STORES -e perf::PERF_COUNT_SW_CONTEXT_SWITCHES -e perf::CONTEXT-SWITCHES -e PAPI_BR_INS -e PAPI_BR_TKN -e PAPI_BR_CN -e PAPI_BR_UCN -e PAPI_BR_PRC -e PAPI_L2_TCM -e perf::ITLB-LOADS -e perf::ITLB-LOAD-MISSES -e perf::LLC-LOADS -e perf::LLC-LOAD-MISSES -e REALTIME -e IO","['/home/ec2-user/aws_data_collection/data/ec2-c6i.metal/amg/d5c49a6ac8ce3fd2abcbc209f95bd0ca', '/home/ec2-user/aws_data_collection/data/ec2-c6i.metal/amg/7c1765d75928890a79c1599e32fbb3ab', '/home/ec2-user/aws_data_collection/data/ec2-c6i.metal/amg/28d199a41b0f2eecc8e1502e932d1c3e', '/home/ec2-user/aws_data_collection/data/ec2-c6i.metal/amg/1544d03e655066e27c2749854798f5d0', '/home/ec2-user/aws_data_collection/data/ec2-c6i.metal/amg/f02adf7219f479cf14682d37ef313484', '/home/ec2-user/aws_data_collection/data/ec2-c6i.metal/amg/c2c1d9c6282401a8c24f5fdd081fbb78', '/home/ec2-user/aws_data_collection/data/ec2-c6i.metal/amg/0b0ff2036b8ab37d0d7b87af8f942260', '/home/ec2-user/aws_data_collection/data/ec2-c6i.metal/amg/0e84c06f3a7853d063b47ee143cf0888', '/home/ec2-user/aws_data_collection/data/ec2-c6i.metal/amg/b7598674ff1004d532d7828228e4d7ef', '/home/ec2-user/aws_data_collection/data/ec2-c6i.metal/amg/3036eab4eedb180b95f791c99e36e6ce', '/home/ec2-user/aws_data_collection/data/ec2-c6i.metal/amg/06d31fd91303d19c05c58f08e9a13d00']",0.0333,"","","","","",1688.0,11576.0,58.0,1.0,1.0,"","","","","",1.0,106.0,"","","","",""
"ec2-c6i.metal","amg","amg","-problem 1 -P 4 4 2 -n 16 16 8","32","ice4hpc","/home/ec2-user/spack/var/spack/environments/ice4hpc/.spack-env/view/bin/amg","-e perf::ITLB-LOADS -e perf::ITLB-LOAD-MISSES -e perf::LLC-LOADS -e perf::LLC-LOAD-MISSES -e perf::LLC-STORES -e perf::LLC-STORE-MISSES -e perf::L1-DCACHE-LOADS -e perf::L1-DCACHE-LOAD-MISSES -e REALTIME -e IO -e PAPI_DP_OPS -e PAPI_VEC_DP -e PAPI_REF_CYC -e PAPI_BR_PRC -e PAPI_L2_TCM -e clx::RESOURCE_STALLS -e clx::HW_INTERRUPTS -e PAPI_BR_TKN -e PAPI_BR_CN -e PAPI_BR_UCN -e perf::DTLB-LOADS -e perf::DTLB-LOAD-MISSES -e perf::DTLB-STORES -e perf::DTLB-STORE-MISSES -e PAPI_BR_TKN -e PAPI_BR_CN -e PAPI_BR_UCN -e PAPI_SP_OPS -e PAPI_VEC_SP -e PAPI_TOT_INS -e perf::L1-DCACHE-STORES -e perf::PERF_COUNT_SW_CONTEXT_SWITCHES -e perf::CONTEXT-SWITCHES -e PAPI_BR_INS -e PAPI_BR_PRC -e PAPI_L2_TCM","['/home/ec2-user/aws_data_collection/data/ec2-c6i.metal/amg/0e138bc672f6b942c340f394a89ea877', '/home/ec2-user/aws_data_collection/data/ec2-c6i.metal/amg/65f24ab3d38a04221067e5139b0d3233', '/home/ec2-user/aws_data_collection/data/ec2-c6i.metal/amg/738935901d058d53d261b53192ef696e', '/home/ec2-user/aws_data_collection/data/ec2-c6i.metal/amg/4f292189b707a10b10b307ac18263805', '/home/ec2-user/aws_data_collection/data/ec2-c6i.metal/amg/f636fcde0505da37a9a7f2ffede98d82', '/home/ec2-user/aws_data_collection/data/ec2-c6i.metal/amg/37dc8642e721b644a233078e26a1a866', '/home/ec2-user/aws_data_collection/data/ec2-c6i.metal/amg/a1eeef232838809151837af20d051ced', '/home/ec2-user/aws_data_collection/data/ec2-c6i.metal/amg/1acd6a2d9ede853b83b7c65a080bfaa3', '/home/ec2-user/aws_data_collection/data/ec2-c6i.metal/amg/58dee0ddb90193d62c93ae36294f6a29', '/home/ec2-user/aws_data_collection/data/ec2-c6i.metal/amg/0482af79b31a5b220fb179f643aaa0d8', '/home/ec2-user/aws_data_collection/data/ec2-c6i.metal/amg/f797add8b016827a520d7447495b3793']",0.05,"","","",18016000000.0,12035003046.0,1320.0,11576.0,"","","","",17212000000.0,2167579282.0,14666000000.0,292.1690679999999,"","",119066000000.0,15619783905.0,2000000.0,"",""
"ec2-c6i.metal","amg","amg","-problem 1 -P 4 4 2 -n 32 32 16","32","ice4hpc","/home/ec2-user/spack/var/spack/environments/ice4hpc/.spack-env/view/bin/amg","-e PAPI_BR_TKN -e PAPI_BR_CN -e PAPI_BR_UCN -e perf::DTLB-LOADS -e perf::DTLB-LOAD-MISSES -e perf::DTLB-STORES -e perf::DTLB-STORE-MISSES -e PAPI_BR_PRC -e PAPI_L2_TCM -e clx::RESOURCE_STALLS -e perf::ITLB-LOADS -e perf::ITLB-LOAD-MISSES -e perf::LLC-LOADS -e perf::LLC-LOAD-MISSES -e perf::LLC-STORES -e perf::LLC-STORE-MISSES -e perf::L1-DCACHE-LOADS -e perf::L1-DCACHE-LOAD-MISSES -e perf::L1-DCACHE-STORES -e perf::PERF_COUNT_SW_CONTEXT_SWITCHES -e perf::CONTEXT-SWITCHES -e PAPI_BR_INS -e clx::HW_INTERRUPTS -e PAPI_BR_TKN -e PAPI_BR_CN -e PAPI_BR_UCN -e REALTIME -e IO -e PAPI_DP_OPS -e PAPI_VEC_DP -e PAPI_REF_CYC -e PAPI_BR_PRC -e PAPI_L2_TCM -e PAPI_SP_OPS -e PAPI_VEC_SP -e PAPI_TOT_INS","['/home/ec2-user/aws_data_collection/data/ec2-c6i.metal/amg/f92fae3496fc983b82c57f93ebb925c5', '/home/ec2-user/aws_data_collection/data/ec2-c6i.metal/amg/6e717bee5c862f15dc1ce5c9d3e94481', '/home/ec2-user/aws_data_collection/data/ec2-c6i.metal/amg/65c0a5be3e573ee88ed203ac80c9edbb', '/home/ec2-user/aws_data_collection/data/ec2-c6i.metal/amg/5eed0d8db4f0b97ecedc2b9c2b6b4616', '/home/ec2-user/aws_data_collection/data/ec2-c6i.metal/amg/9ab06e216b806a40c851844ac6cedb83', '/home/ec2-user/aws_data_collection/data/ec2-c6i.metal/amg/bf8edf8cd285267c55664afbc8976f4d', '/home/ec2-user/aws_data_collection/data/ec2-c6i.metal/amg/3526fb89bb8fe139bfffe4597939012c', '/home/ec2-user/aws_data_collection/data/ec2-c6i.metal/amg/faccda72886c361fccb548233bb7feef', '/home/ec2-user/aws_data_collection/data/ec2-c6i.metal/amg/ae23821bca8e0d87685fda85f4144523', '/home/ec2-user/aws_data_collection/data/ec2-c6i.metal/amg/57b05ab7c485eaf182a4f5d3fca8efba', '/home/ec2-user/aws_data_collection/data/ec2-c6i.metal/amg/f32fef3cf9862b6360ec60b9b6fb3f31']",6.3666,"","","",26462000000.0,17946629502.0,1776.0,11576.0,"","","","",22744000000.0,3208698271.0,19104000000.0,402.38462,"","",177686000000.0,11239529940.0,2000000.0,"",""
"ec2-c6i.metal","amg","amg","-problem 1 -P 4 4 2 -n 8 8 4","32","ice4hpc","/home/ec2-user/spack/var/spack/environments/ice4hpc/.spack-env/view/bin/amg","-e perf::LLC-STORES -e perf::LLC-STORE-MISSES -e perf::L1-DCACHE-LOADS -e perf::L1-DCACHE-LOAD-MISSES -e clx::HW_INTERRUPTS -e PAPI_BR_TKN -e PAPI_BR_CN -e PAPI_BR_UCN -e perf::L1-DCACHE-STORES -e perf::PERF_COUNT_SW_CONTEXT_SWITCHES -e perf::CONTEXT-SWITCHES -e PAPI_BR_INS -e PAPI_SP_OPS -e PAPI_VEC_SP -e PAPI_TOT_INS -e PAPI_DP_OPS -e PAPI_VEC_DP -e PAPI_REF_CYC -e PAPI_BR_TKN -e PAPI_BR_CN -e PAPI_BR_UCN -e perf::ITLB-LOADS -e perf::ITLB-LOAD-MISSES -e perf::LLC-LOADS -e perf::LLC-LOAD-MISSES -e PAPI_BR_PRC -e PAPI_L2_TCM -e clx::RESOURCE_STALLS -e perf::DTLB-LOADS -e perf::DTLB-LOAD-MISSES -e perf::DTLB-STORES -e perf::DTLB-STORE-MISSES -e REALTIME -e IO -e PAPI_BR_PRC -e PAPI_L2_TCM","['/home/ec2-user/aws_data_collection/data/ec2-c6i.metal/amg/3cf8db55395b67ebf16bd072aa799c7e', '/home/ec2-user/aws_data_collection/data/ec2-c6i.metal/amg/fb94cf0cf5c448194495a926255d1c76', '/home/ec2-user/aws_data_collection/data/ec2-c6i.metal/amg/20fe87cd39a1f01bd94f0a70b18c5fde', '/home/ec2-user/aws_data_collection/data/ec2-c6i.metal/amg/bdafd59078641e55640e5635d4113065', '/home/ec2-user/aws_data_collection/data/ec2-c6i.metal/amg/c19d0b30d56b6b61914908b72c28de2e', '/home/ec2-user/aws_data_collection/data/ec2-c6i.metal/amg/57756bddd76ce4f6c316ad0474fb5ec5', '/home/ec2-user/aws_data_collection/data/ec2-c6i.metal/amg/67093c31f7d54127615b7b8a4a0d57cc', '/home/ec2-user/aws_data_collection/data/ec2-c6i.metal/amg/c8e92e8dc5659ed269660e73408c0792', '/home/ec2-user/aws_data_collection/data/ec2-c6i.metal/amg/74f1174039f87c6e85f1a63985d2510c', '/home/ec2-user/aws_data_collection/data/ec2-c6i.metal/amg/48eea9393e4028f5976515c38b9a1395', '/home/ec2-user/aws_data_collection/data/ec2-c6i.metal/amg/d960507ed5f316c660b232450fe689a5']",3.6333,"","","",16560000000.0,12463854845.0,1808.0,11576.0,"","","","",13264000000.0,2862035054.0,10780000000.0,227.43666399999995,"","",98902000000.0,"","","",""
"ec2-c6i.metal","amg","amg","-problem 2 -P 1 1 1 -n 16 16 16","1","ice4hpc","/home/ec2-user/spack/var/spack/environments/ice4hpc/.spack-env/view/bin/amg","-e perf::DTLB-LOADS -e perf::DTLB-LOAD-MISSES -e perf::DTLB-STORES -e perf::DTLB-STORE-MISSES -e PAPI_BR_PRC -e PAPI_L2_TCM -e clx::RESOURCE_STALLS -e PAPI_DP_OPS -e PAPI_VEC_DP -e PAPI_REF_CYC -e perf::L1-DCACHE-STORES -e perf::PERF_COUNT_SW_CONTEXT_SWITCHES -e perf::CONTEXT-SWITCHES -e PAPI_BR_INS -e perf::ITLB-LOADS -e perf::ITLB-LOAD-MISSES -e perf::LLC-LOADS -e perf::LLC-LOAD-MISSES -e PAPI_BR_TKN -e PAPI_BR_CN -e PAPI_BR_UCN -e PAPI_SP_OPS -e PAPI_VEC_SP -e PAPI_TOT_INS -e clx::HW_INTERRUPTS -e PAPI_BR_TKN -e PAPI_BR_CN -e PAPI_BR_UCN -e perf::LLC-STORES -e perf::LLC-STORE-MISSES -e perf::L1-DCACHE-LOADS -e perf::L1-DCACHE-LOAD-MISSES -e PAPI_BR_PRC -e PAPI_L2_TCM -e REALTIME -e IO","['/home/ec2-user/aws_data_collection/data/ec2-c6i.metal/amg/504f86ebc96a4837a9cfbb1c23b4144d', '/home/ec2-user/aws_data_collection/data/ec2-c6i.metal/amg/098a0b2dc4e5e7cbca37287014c413d1', '/home/ec2-user/aws_data_collection/data/ec2-c6i.metal/amg/934d91b1f59cd3e755d62614f83c9db2', '/home/ec2-user/aws_data_collection/data/ec2-c6i.metal/amg/aaa5e6de620758bd31e50fbe439f2189', '/home/ec2-user/aws_data_collection/data/ec2-c6i.metal/amg/94c370c4639d1cdc02e32b10b7fb93af', '/home/ec2-user/aws_data_collection/data/ec2-c6i.metal/amg/17bba042ee4a1f7344d7ae2dd150b529', '/home/ec2-user/aws_data_collection/data/ec2-c6i.metal/amg/90c7fe87eddebd104ea55c84c2277c14', '/home/ec2-user/aws_data_collection/data/ec2-c6i.metal/amg/56cfe2099b2e8c7063382a88f9cc49aa', '/home/ec2-user/aws_data_collection/data/ec2-c6i.metal/amg/5a1e21233b71d3b47a967805b4b41f0e', '/home/ec2-user/aws_data_collection/data/ec2-c6i.metal/amg/8dc86aaf9bd7e7419c3469df825a83fd', '/home/ec2-user/aws_data_collection/data/ec2-c6i.metal/amg/3dd9861a565847c3b11e2dbb3987dcfe']",0.0166,159964027.0,1464000000.0,159964027.0,200000000.0,239911044.0,296.0,11576.0,4818.0,1312434861.0,23246.0,245360221.0,114000000.0,85505100.0,94000000.0,0.550299,1308515533.0,266.0,3046000000.0,85935706.0,6000000.0,6522.0,19115243.0
"ec2-c6i.metal","amg","amg","-problem 2 -P 1 1 1 -n 32 32 32","1","ice4hpc","/home/ec2-user/spack/var/spack/environments/ice4hpc/.spack-env/view/bin/amg","-e PAPI_DP_OPS -e PAPI_VEC_DP -e PAPI_REF_CYC -e perf::ITLB-LOADS -e perf::ITLB-LOAD-MISSES -e perf::LLC-LOADS -e perf::LLC-LOAD-MISSES -e perf::DTLB-LOADS -e perf::DTLB-LOAD-MISSES -e perf::DTLB-STORES -e perf::DTLB-STORE-MISSES -e clx::HW_INTERRUPTS -e PAPI_BR_TKN -e PAPI_BR_CN -e PAPI_BR_UCN -e PAPI_BR_TKN -e PAPI_BR_CN -e PAPI_BR_UCN -e PAPI_SP_OPS -e PAPI_VEC_SP -e PAPI_TOT_INS -e PAPI_BR_PRC -e PAPI_L2_TCM -e clx::RESOURCE_STALLS -e perf::L1-DCACHE-STORES -e perf::PERF_COUNT_SW_CONTEXT_SWITCHES -e perf::CONTEXT-SWITCHES -e PAPI_BR_INS -e PAPI_BR_PRC -e PAPI_L2_TCM -e perf::LLC-STORES -e perf::LLC-STORE-MISSES -e perf::L1-DCACHE-LOADS -e perf::L1-DCACHE-LOAD-MISSES -e REALTIME -e IO","['/home/ec2-user/aws_data_collection/data/ec2-c6i.metal/amg/188694102de4550d13f65affb50112fd', '/home/ec2-user/aws_data_collection/data/ec2-c6i.metal/amg/a95d24e597ba0e9f87d0e530735a3f12', '/home/ec2-user/aws_data_collection/data/ec2-c6i.metal/amg/193142b1c8a234b95a75117441ff738f', '/home/ec2-user/aws_data_collection/data/ec2-c6i.metal/amg/4b667129d92fd4a69bfbef9c79378f94', '/home/ec2-user/aws_data_collection/data/ec2-c6i.metal/amg/874d1100613afca5c14af55ad84d6606', '/home/ec2-user/aws_data_collection/data/ec2-c6i.metal/amg/0f3b50d064824dc799bfd5836c8f9e19', '/home/ec2-user/aws_data_collection/data/ec2-c6i.metal/amg/b38776ff1a22498114e214c6710deaf6', '/home/ec2-user/aws_data_collection/data/ec2-c6i.metal/amg/d3ce607c186a0325635a0cb825ed2121', '/home/ec2-user/aws_data_collection/data/ec2-c6i.metal/amg/c77d64158768de4d996eed1ca353b6b4', '/home/ec2-user/aws_data_collection/data/ec2-c6i.metal/amg/98c9969371d189272a5a920f437d53d6', '/home/ec2-user/aws_data_collection/data/ec2-c6i.metal/amg/6c9e432a1f0b1d267e53a620b80ffc63']",0.0833,39.0,2000000.0,39.0,1722000000.0,2152034353.0,280.0,11576.0,126279.0,11767590390.0,153253.0,966105.0,980000000.0,747671493.0,838000000.0,4.507807000000001,11767193278.0,1.0,26746000000.0,956270888.0,148000000.0,45533.0,174292830.0
"ec2-c6i.metal","amg","amg","-problem 2 -P 1 1 1 -n 8 8 8","1","ice4hpc","/home/ec2-user/spack/var/spack/environments/ice4hpc/.spack-env/view/bin/amg","-e perf::L1-DCACHE-STORES -e perf::PERF_COUNT_SW_CONTEXT_SWITCHES -e perf::CONTEXT-SWITCHES -e PAPI_BR_INS -e PAPI_BR_PRC -e PAPI_L2_TCM -e clx::RESOURCE_STALLS -e perf::DTLB-LOADS -e perf::DTLB-LOAD-MISSES -e perf::DTLB-STORES -e perf::DTLB-STORE-MISSES -e PAPI_DP_OPS -e PAPI_VEC_DP -e PAPI_REF_CYC -e PAPI_BR_TKN -e PAPI_BR_CN -e PAPI_BR_UCN -e clx::HW_INTERRUPTS -e PAPI_BR_TKN -e PAPI_BR_CN -e PAPI_BR_UCN -e PAPI_SP_OPS -e PAPI_VEC_SP -e PAPI_TOT_INS -e REALTIME -e IO -e perf::ITLB-LOADS -e perf::ITLB-LOAD-MISSES -e perf::LLC-LOADS -e perf::LLC-LOAD-MISSES -e perf::LLC-STORES -e perf::LLC-STORE-MISSES -e perf::L1-DCACHE-LOADS -e perf::L1-DCACHE-LOAD-MISSES -e PAPI_BR_PRC -e PAPI_L2_TCM","['/home/ec2-user/aws_data_collection/data/ec2-c6i.metal/amg/c20ad89640c7f7b1426bc8836285ece1', '/home/ec2-user/aws_data_collection/data/ec2-c6i.metal/amg/352639737426bcd5055e570d1dea8962', '/home/ec2-user/aws_data_collection/data/ec2-c6i.metal/amg/d99121b0646cebcef5319b2930fa8627', '/home/ec2-user/aws_data_collection/data/ec2-c6i.metal/amg/763f16e52746f0501e3a3aaf87bb6af6', '/home/ec2-user/aws_data_collection/data/ec2-c6i.metal/amg/15c4f237bcd942e9dedbd9e3d8fb2395', '/home/ec2-user/aws_data_collection/data/ec2-c6i.metal/amg/77d1e99c35103c5f4e7415d5994957a9', '/home/ec2-user/aws_data_collection/data/ec2-c6i.metal/amg/da869b45676166aed4b29b53f7f82436', '/home/ec2-user/aws_data_collection/data/ec2-c6i.metal/amg/02256417a987ace538b899a8bedb5f81', '/home/ec2-user/aws_data_collection/data/ec2-c6i.metal/amg/fb62a8a960995c1c23c646ea4e446f77', '/home/ec2-user/aws_data_collection/data/ec2-c6i.metal/amg/6d9d09f7a642e66097c79ef4de38c5f4', '/home/ec2-user/aws_data_collection/data/ec2-c6i.metal/amg/2ca2ae7419a9c458d1abfd912113ffeb']",0.0166,14975805.0,148000000.0,14975805.0,20000000.0,16716965.0,296.0,11576.0,2111.0,104996044.0,660.0,22341159.0,12000000.0,8559495.0,8000000.0,0.095115,104471154.0,1.0,300000000.0,"","",471.0,1528421.0
"ec2-c6i.metal","amg","amg","-problem 2 -P 4 4 2 -n 16 16 8","32","ice4hpc","/home/ec2-user/spack/var/spack/environments/ice4hpc/.spack-env/view/bin/amg","-e PAPI_DP_OPS -e PAPI_VEC_DP -e PAPI_REF_CYC -e perf::L1-DCACHE-STORES -e perf::PERF_COUNT_SW_CONTEXT_SWITCHES -e perf::CONTEXT-SWITCHES -e PAPI_BR_INS -e PAPI_SP_OPS -e PAPI_VEC_SP -e PAPI_TOT_INS -e perf::LLC-STORES -e perf::LLC-STORE-MISSES -e perf::L1-DCACHE-LOADS -e perf::L1-DCACHE-LOAD-MISSES -e perf::ITLB-LOADS -e perf::ITLB-LOAD-MISSES -e perf::LLC-LOADS -e perf::LLC-LOAD-MISSES -e perf::DTLB-LOADS -e perf::DTLB-LOAD-MISSES -e perf::DTLB-STORES -e perf::DTLB-STORE-MISSES -e PAPI_BR_PRC -e PAPI_L2_TCM -e REALTIME -e IO -e PAPI_BR_PRC -e PAPI_L2_TCM -e clx::RESOURCE_STALLS -e clx::HW_INTERRUPTS -e PAPI_BR_TKN -e PAPI_BR_CN -e PAPI_BR_UCN","['/home/ec2-user/aws_data_collection/data/ec2-c6i.metal/amg/e26c686702d6e68a7331c4d699550b2c', '/home/ec2-user/aws_data_collection/data/ec2-c6i.metal/amg/68d3581b2f5018fb217149fe6d88d334', '/home/ec2-user/aws_data_collection/data/ec2-c6i.metal/amg/b3d1d33c293165bc3b4a44a4f271b62e', '/home/ec2-user/aws_data_collection/data/ec2-c6i.metal/amg/38fa5b8cf88ca51813044f9e34b884f2', '/home/ec2-user/aws_data_collection/data/ec2-c6i.metal/amg/0f5af9e99b7aac19068d8f4069c3bab5', '/home/ec2-user/aws_data_collection/data/ec2-c6i.metal/amg/c38909bab06d1cf4cef5c6f2e0936389', '/home/ec2-user/aws_data_collection/data/ec2-c6i.metal/amg/62b690aa177b755350ee10f5d7b30972', '/home/ec2-user/aws_data_collection/data/ec2-c6i.metal/amg/430594be43b9eccaed8faab892a4ead7', '/home/ec2-user/aws_data_collection/data/ec2-c6i.metal/amg/7a1de7306225bcd30eaa2b158c243253', '/home/ec2-user/aws_data_collection/data/ec2-c6i.metal/amg/643535235b036499102328bf85453b9b']",57.9166,"","","","","",1808.0,11576.0,"","","","","","","",3606.2855439999953,"","",1420218000000.0,182418518506.0,24000000.0,"",""
